song_id;language;field;value
14989081;JA;name;クライスレリアーナ 作品16 第5曲: 生き生きと
14989085;JA;name;クライスレリアーナ 作品16 第6曲: きわめて遅く
14989089;JA;name;クライスレリアーナ 作品16 第7曲: きわめて速く
14989093;JA;name;クライスレリアーナ 作品16 第8曲: 速く、諧謔をもって
15095460;JA;name;葬礼(交響曲 第2番 第1楽章の初期稿)
15095469;JA;name;交響詩《ツァラトゥストラはかく語りき》 作品30 病から回復に向かうもの
15095475;JA;name;交響詩《ツァラトゥストラはかく語りき》 作品30 舞踏の歌
15095483;JA;name;交響詩《ツァラトゥストラはかく語りき》 作品30 さすらい人の夜の歌
15095489;JA;name;交響詩《ツァラトゥストラはかく語りき》 作品30 大いなる憧れについて
15095494;JA;name;交響詩《ツァラトゥストラはかく語りき》 作品30 埋葬の歌
